Estacion,Lineas,Latitud,Longitud,Combinacion
Pedrero,L5,-33.508054,-70.612344,No
Pedro de Valdivia,L1,-33.4252307504914,-70.613821000677,No
Plaza Chacabuco,L3,-33.406435,-70.660871,No
Plaza Egaña,"L3, L4",-33.45342979644313,-70.57098180285428,Sí
Plaza Quilicura,L3,-33.3656937072977,-70.7293896612974,No
Plaza de Armas,"L3, L5",-33.4373774989077,-70.65146690162523,Sí
Plaza de Maipú,L5,-33.509923333399,-70.7568933332511,No
Plaza de Puente Alto,L4,-33.6094197507587,-70.5756327506493,No
Protectora de La Infancia,L4,-33.5892805001949,-70.57967700003485,No
Príncipe de Gales,L4,-33.4389173336975,-70.573009999793,No
Pudahuel,L5,-33.4447005,-70.7409765,No
Puente Cal y Canto,"L2, L3",-33.432693807176555,-70.6525897541307,Sí
Quilín,L4,-33.4882755038026,-70.5802475026891,No
Quinta Normal,L5,-33.4403945000005,-70.6804460000066,No
República,L1,-33.4477040003231,-70.6667376670974,No
Rodrigo de Araya,L5,-33.478073,-70.622192,No
Rojas Magallanes,L4,-33.535751,-70.592853,No
Rondizzoni,L2,-33.470183,-70.656325,No
Salvador,L1,-33.4328226000889,-70.6259352003323,No
San Alberto Hurtado,L1,-33.4542110000313,-70.6922765002798,No
San Joaquín,L5,-33.49883299999999,-70.615762,No
San José de La Estrella,L4,-33.553463,-70.586562,No
San Miguel,L2,-33.4887287505838,-70.6511055003364,No
San Pablo,"L1, L5",-33.444757341221,-70.72316183878513,Sí
San Ramón,L4A,-33.5412560000362,-70.643032499722,No
Santa Ana,"L2, L5",-33.43829383027457,-70.6599067486857,Sí
Santa Isabel,L5,-33.446967,-70.630519,No
Santa Julia,L4A,-33.5311045003382,-70.6055380006224,No
Santa Lucía,L1,-33.4426015001015,-70.6450135004098,No
Santa Rosa,L4A,-33.5424160003251,-70.6341105001584,No
Santiago Bueras,L5,-33.496779,-70.757302,No
Simón Bolivar,L4,-33.4461070002363,-70.571867499432,No
Tobalaba,"L1, L4",-33.41850013269349,-70.60215774185677,Sí
Toesca,L2,-33.4529735000973,-70.6585815009479,No
Trinidad,L4,-33.546932,-70.587818,No
Universidad Católica,L1,-33.4398775005508,-70.6399685003287,No
Universidad de Chile,"L1, L3",-33.443878474915444,-70.65074579793824,Sí
Universidad de Santiago,L1,-33.4527110000353,-70.6861880000361,No
Unión Latinoamericana,L1,-33.4493046667187,-70.6733970000011,No
Vespucio Norte,L2,-33.380832501078,-70.6466290008906,No
Vicente Valdés,"L4, L5",-33.5261436135363,-70.59687895595265,Sí
Vicuña Mackenna,"L4, L4A",-33.52003683068625,-70.5964124938815,Sí
Villa Frei,L3,-33.454816,-70.580146,No
Vivaceta,L3,-33.385377,-70.679303,No
Zapadores,L2,-33.391309000003,-70.6425814999764,No
Ñuble,"L5, L6",-33.46724910293102,-70.6249142575578,Sí
Ñuñoa,"L3, L6",-33.45423193879549,-70.60509250883514,Sí
